DATE,WILLREITIND
2003-01-02,2137.67
2003-01-03,2155.20
2003-01-06,2177.72
2003-01-07,2145.78
2003-01-08,2123.74
2003-01-09,2127.60
2003-01-10,2108.54
2003-01-13,2098.25
2003-01-14,2099.64
2003-01-15,2093.99
2003-01-16,2071.14
2003-01-17,2049.95
2003-01-20,.
2003-01-21,2042.72
2003-01-22,2042.84
2003-01-23,2048.91
2003-01-24,2028.85
2003-01-27,2021.38
2003-01-28,2027.04
2003-01-29,2046.14
2003-01-30,2032.80
2003-01-31,2065.14
2003-02-03,2054.56
2003-02-04,2061.85
2003-02-05,2062.96
2003-02-06,2064.78
2003-02-07,2049.03
2003-02-10,2066.79
2003-02-11,2046.19
2003-02-12,2034.92
2003-02-13,2039.17
2003-02-14,2030.96
2003-02-17,.
2003-02-18,2056.74
2003-02-19,2070.33
2003-02-20,2073.86
2003-02-21,2093.05
2003-02-24,2074.75
2003-02-25,2095.54
2003-02-26,2085.89
2003-02-27,2101.46
2003-02-28,2102.74
2003-03-03,2105.14
2003-03-04,2090.05
2003-03-05,2093.83
2003-03-06,2083.45
2003-03-07,2083.45
2003-03-10,2062.01
2003-03-11,2060.56
2003-03-12,2056.71
2003-03-13,2078.22
2003-03-14,2069.99
2003-03-17,2113.55
2003-03-18,2120.04
2003-03-19,2143.67
2003-03-20,2166.42
2003-03-21,2203.10
2003-03-24,2149.36
2003-03-25,2174.10
2003-03-26,2184.08
2003-03-27,2175.87
2003-03-28,2170.32
2003-03-31,2153.93
2003-04-01,2199.40
2003-04-02,2220.98
2003-04-03,2211.52
2003-04-04,2193.50
2003-04-07,2217.67
2003-04-08,2206.29
2003-04-09,2211.18
2003-04-10,2201.74
2003-04-11,2191.70
2003-04-14,2221.38
2003-04-15,2230.83
2003-04-16,2236.77
2003-04-17,2251.71
2003-04-18,.
2003-04-21,2267.16
2003-04-22,2290.75
2003-04-23,2296.99
2003-04-24,2272.08
2003-04-25,2256.21
2003-04-28,2251.82
2003-04-29,2257.28
2003-04-30,2236.95
2003-05-01,2252.37
2003-05-02,2276.28
2003-05-05,2295.89
2003-05-06,2318.05
2003-05-07,2300.86
2003-05-08,2315.98
2003-05-09,2338.05
2003-05-12,2351.44
2003-05-13,2352.61
2003-05-14,2342.71
2003-05-15,2348.14
2003-05-16,2360.46
2003-05-19,2347.94
2003-05-20,2365.86
2003-05-21,2376.08
2003-05-22,2396.06
2003-05-23,2403.20
2003-05-26,.
2003-05-27,2404.22
2003-05-28,2368.41
2003-05-29,2317.27
2003-05-30,2363.62
2003-06-02,2375.14
2003-06-03,2385.26
2003-06-04,2408.54
2003-06-05,2408.83
2003-06-06,2434.68
2003-06-09,2417.14
2003-06-10,2448.24
2003-06-11,2465.81
2003-06-12,2434.70
2003-06-13,2401.25
2003-06-16,2423.06
2003-06-17,2402.65
2003-06-18,2377.15
2003-06-19,2374.52
2003-06-20,2377.90
2003-06-23,2352.33
2003-06-24,2362.73
2003-06-25,2377.66
2003-06-26,2407.90
